Company Name,Job Title,Source,Application Status,Applied on,Job Link,Note
Greenium,Werkstudent (m/f/d) Full-Stack Developer — KI-gestützte Entwicklung,,Rejected,31 May,,
Fresenius Medical Care,"Werkstudent (m/w/d) Data Analytics, Supply Chain Analytics & Optimization",,Rejected,31 May,,
BorgWarner,Werkstudent (m/w/d) – KI - basierte Datenanalyse,,Rejected,2Jun,,
Knorr-Bremse,Intern AI Transformation (m/f/d),,Rejected,2 Jun,,
Doctario gmbh,AI Engineering Intern,,Rejected,2Jun,,
Mercedes-Benz AG,Intern Pioneering Data Analytics & AI Innovation ,,Rejected,2 Jun,,
trumpf,Data analytics intern,,Rejected,3 June,,
edin smith group,AI Engineering Intern,LinkedIN,Rejected,9 June,,
Quasiris,QuasirisWerkstudent / Minijob (m/w/d) - AI Agents & Quasiris Search Cloud (QSC),join.com,Rejected,9 June,,
valantic gmbh,Intern / Working Student (all genders) – AI Engineering & Cloud Prototyping,valantic jobs,Rejected,9 June,,
TAS force GmbH,Working Student AI Agent Engineering & Azure AI Foundry (m/f/d),indeed,Rejected,9 June,,
Place,werkstuden,indeed,Rejected,10 June,,
Mercedes-Benz AG,Internship/ Master Thesis - Machine Learning and Control Systems - REF96929P,website,Rejected,10Jun,,
disruptive,Werkstudent:in AI Engineering (m/w/d),website,Rejected,10 Jun,,
CognitX AI GmbH,AI / LLM Engineering (Werkstudent),join web,Rejected,13 June,,
Siemens,Working Student (f/m/d) LLM-based Multi-agent System for Software Engineering,web,Rejected,13 June,,
Formigas,Werkstudent,web,Rejected,15 Jun,,
nec,Master Student Research Intern for Applied Research in LLMs and Agentic AI [2606-144-HAI],web,Rejected,16 Jun,,
fraunhofer iis,Working Student (all genders) -  AI & Data Engineering,web,Rejected,16 Jun,,
DEUTZ,Werkstudent (m/w/d) Machine Learning,web,Rejected,17 Jun,,
merz,werkStudent Ai engineer,,Rejected,17 Jun,,
merz,Studentin*in für Masterarbeit im Bereich KI-gestützte Softwareentwicklung und Multi-Agenten-Systeme,web,Rejected,17 Jun,,
merz,Pratikum in daten and ki,web,Rejected,17 Jun,,
merz,Working Student Machine Learning Engineer (d/m/f/x),web,Rejected,,,
teamviewer gmbh,"Work Student, Software Development",indeed,Rejected,30 Jun,,
Tesla,"Software Engineering Intern, AI Applications (m/f/d) - Gigafactory Berlin-Brandenburg",web,Rejected,30 Jun,,
Tesla,"Machine Learning Intern, Generative AI Applications (m/f/d) - Gigafactory Berlin-Brandenburg",web,Rejected,30 Jun,,
Black digits,AI Platform Software Engineer - STACKIT,web,Rejected,2 Jul,,
a plus b solution,Werkstudent,cold mailing,Rejected,2 Jul,,
Ecotion,Werkstudent,cold mailing,Interview,3 Jul,,
.msg,Ai N ML,web,Rejected,3 Jul,,
frenius medical care,Werkstudent - Dialysis Machine Data Science (m/w/d),web,Rejected,8 Jul,,
BlockBrain,unsolicitated,mail,Applied,11 Jul,,
concept board,unsolicitated,website,Applied,11 Jul,,
sereact,intership,website,Applied,11 Jul,,
dfki,Application for Researcher Position – Biologically Informed Machine Learning and AI,web+mail,Applied,11 Jul,,
Vialytics,unsolicitated,web,Applied,11 Jul,,
Nesto,unsolicitated,mail,Applied,11 Jul,,
fraunhofer,student assitant,web,Applied,15Jul,,
Neureya labs,unsolicitated,mail,Applied,15 Jul,,
Sohard,unsolicitated,mail,Applied,15 Jul,,
Airbus,Master thesis,web,Applied,16 Jul,,
danaher,Master Thesis Student Data Science Preventative Service,web,Applied,16 Jul,,
